Specie,Long,Lat,LA:SA,Sample,Height,Alpha,MI,References,,,LA:SA (m2 m-2),
Banksia oblongifolia,151.02,-33.07,3.41,branch,,0.47,0.45,McClenahan et al. 2004,,,2570.694087403600,
Angophora hispida,151.02,-33.07,2.79,branch,,0.61,0.63,McClenahan et al. 2004,,,617.283950617284,
Angophora hispida,151.02,-33.07,3.41,branch,,0.47,0.45,McClenahan et al. 2004,,,2570.694087403600,
Eucalyptus haemostoma,151.02,-33.07,2.79,branch,,0.61,0.63,McClenahan et al. 2004,,,617.283950617284,
Eucalyptus haemostoma,151.02,-33.07,3.41,branch,,0.47,0.45,McClenahan et al. 2004,,,2570.694087403600,
Glochidion ferdinandi,151.02,-33.07,3.46,branch,,0.61,0.63,McClenahan et al. 2004,,,2915.451895043730,
Glochidion ferdinandi,151.02,-33.07,3.46,branch,,0.47,0.45,McClenahan et al. 2004,,,2873.563218390810,
Persoonia lanceolata,151.02,-34.02,2.82,branch,,0.61,0.71,McClenahan et al. 2004,,,657.894736842105,
Persoonia lanceolata,151.02,-34.02,3.27,branch,,0.49,0.52,McClenahan et al. 2004,,,1858.736059479550,
Eucalyptus nitens ,147.02,-43.30,4.37,trunk,,0.88,1.49,Medhurst et al. 1999,,,23529.411764705900,
Eucalyptus nitens ,147.28,-41.02,4.76,trunk,,0.65,0.85,Medhurst et al. 1999,,,58139.534883721000,
Eucalyptus nitens ,146.90,-43.35,4.40,trunk,,0.92,1.92,Medhurst et al. 1999,,,25316.455696202500,
Eucalyptus nitens ,146.90,-43.35,4.31,trunk,,0.92,1.92,Medhurst et al. 1999,,,20491.803278688500,
Eucalyptus nitens ,146.90,-43.35,4.66,trunk,,0.92,1.92,Medhurst et al. 1999,,,45248.868778280600,
Eucalyptus nitens ,146.90,-43.35,4.42,trunk,,0.92,1.92,Medhurst et al. 1999,,,26041.666666666700,
Eucalyptus nitens ,147.27,-41.20,4.55,trunk,,0.77,1.30,Medhurst et al. 1999,,,35714.285714285700,
Eucalyptus nitens ,147.27,-41.20,4.46,trunk,,0.73,1.10,Medhurst et al. 1999,,,28735.632183908100,
Eucalyptus nitens ,147.28,-41.02,3.54,trunk,,0.65,0.85,Medhurst et al. 1999,,,3472.222222222220,
Eucalyptus nitens ,147.28,-41.02,3.69,trunk,,0.65,0.85,Medhurst et al. 1999,,,4950.495049504950,
Eucalyptus nitens ,147.60,-42.82,4.11,trunk,,,,Medhurst et al. 1999,,,12853.470437018000,
Eucalyptus nitens ,147.60,-42.82,3.66,trunk,,,,Medhurst et al. 1999,,,4587.155963302750,
Eucalyptus nitens ,147.60,-42.82,4.39,trunk,,,,Medhurst et al. 1999,,,24752.475247524800,
Eucalyptus nitens ,147.60,-42.82,3.86,trunk,,,,Medhurst et al. 1999,,,7194.244604316560,
Eucalyptus nitens ,148.10,-41.08,3.69,trunk,,0.72,0.74,Medhust and Beadle 2002,,,4926.108374384240,
Eucalyptus nitens ,148.10,-41.08,3.53,trunk,,0.72,0.74,Medhust and Beadle 2002,,,3389.830508474580,
Eucalyptus nitens ,148.10,-41.08,3.59,branch,,0.72,0.74,Medhust and Beadle 2002,,,3861.003861003860,
Eucalyptus nitens ,148.10,-41.08,3.74,branch,,0.72,0.74,Medhust and Beadle 2002,,,5524.861878453040,
Eucalyptus nitens ,148.10,-41.08,3.77,branch,,0.72,0.74,Medhust and Beadle 2002,,,5917.159763313610,
Eucalyptus delegatensis ,148.05,-35.70,3.60,trunk,20.57,0.70,0.96,Mokany et al. 2003,,,3952.569169960480,
Eucalyptus delegatensis ,148.05,-35.70,3.58,trunk,15.744,0.70,0.96,Mokany et al. 2003,,,3759.398496240610,
Eucalyptus camaldulensis ,145.00,-36.42,3.52,trunk,,0.29,0.26,Morris and Collopy 1999,,,3322.259136212620,
Eucalyptus camaldulensis ,145.00,-36.42,3.58,trunk,,0.29,0.26,Morris and Collopy 1999,,,3815.000000000000,
Acacia aneura ,133.85,-21.90,3.19,branch,,0.12,0.16,O'Grady et al. 2009,,,1538.461538461540,
Acacia aneura ,133.85,-21.90,2.84,branch,,0.12,0.16,O'Grady et al. 2009,,,694.444444444445,
